Date,P,D,E,CPI,rf
01.01.1970,90.31,3.16,5.73,37.80,7.87
01.02.1970,87.16,3.17,5.68,38.00,7.13
01.03.1970,88.65,3.17,5.63,38.20,6.63
01.04.1970,85.95,3.17,5.59,38.50,6.51
01.05.1970,76.06,3.18,5.56,38.60,6.84
01.06.1970,75.59,3.18,5.52,38.80,6.68
01.07.1970,75.72,3.18,5.47,39.00,6.45
01.08.1970,77.92,3.19,5.41,39.00,6.41
01.09.1970,82.58,3.19,5.36,39.20,6.12
01.10.1970,84.37,3.17,5.28,39.40,5.91
01.11.1970,84.28,3.16,5.21,39.60,5.28
01.12.1970,90.05,3.14,5.13,39.80,4.87
01.01.1971,93.49,3.13,5.16,39.80,4.44
01.02.1971,97.11,3.12,5.19,39.90,3.70
01.03.1971,99.60,3.11,5.22,40.00,3.38
01.04.1971,103.00,3.11,5.25,40.10,3.86
01.05.1971,101.60,3.10,5.29,40.30,4.14
01.06.1971,99.72,3.10,5.32,40.60,4.75
01.07.1971,99.00,3.10,5.36,40.70,5.40
01.08.1971,97.24,3.09,5.39,40.80,4.94
01.09.1971,99.40,3.09,5.43,40.80,4.69
01.10.1971,97.29,3.08,5.52,40.90,4.46
01.11.1971,92.78,3.08,5.61,40.90,4.22
01.12.1971,99.17,3.07,5.70,41.10,4.01
01.01.1972,103.30,3.07,5.74,41.10,3.38
01.02.1972,105.20,3.07,5.77,41.30,3.20
01.03.1972,107.70,3.07,5.81,41.40,3.73
01.04.1972,108.80,3.07,5.86,41.50,3.71
01.05.1972,107.70,3.07,5.92,41.60,3.69
01.06.1972,108.00,3.07,5.97,41.70,3.91
01.07.1972,107.20,3.07,6.03,41.90,3.98
01.08.1972,111.00,3.08,6.08,42.00,4.02
01.09.1972,109.40,3.08,6.14,42.10,4.66
01.10.1972,109.60,3.10,6.23,42.30,4.74
01.11.1972,115.10,3.13,6.33,42.40,4.78
01.12.1972,117.50,3.15,6.42,42.50,5.07
01.01.1973,118.40,3.16,6.55,42.60,5.41
01.02.1973,114.20,3.16,6.67,42.90,5.60
01.03.1973,112.40,3.17,6.80,43.30,6.09
01.04.1973,110.30,3.19,6.94,43.60,6.26
