year;Argentina;Australia;Austria;Belgium;Brazil;Canada;Switzerland;China;Germany;Denmark;Spain;Finland;France;United Kingdom;Greece;India;Ireland;Italy;Japan;Netherlands;Norway;Portugal;Russian Federation;Sweden;United States
1960;0,131508917;16588000000;12456853504;14450609152;0,00103058;39239090176;41642496000;1,4701E+11;;;4353296384;2811619072;46834000000;26155000000;381674500;1,76333E+11;879443520;13014645760;1,59506E+13;21169567744;37633208320;453971392;;81853557400;5,433E+11
1961;0,16680719;17548000000;13815504896;15369578496;0,001492229;41469849373;46846156800;1,2323E+11;;;4988749312;3187045376;50775000000;27765000000;436807100;1,86821E+11;946867776;14474595328;1,92631E+13;22349805568;41052958720;485862016;;89044845000;5,633E+11
1962;0,213135928;17762000000;14655121408;16440317952;0,002807757;45131300479;51950571520;1,1622E+11;;;5819676672;3412509440;56906000000;29017000000;458962400;2,00769E+11;1025019008;16263192576;2,18603E+13;24060491776;44219985920;521504384;;96569614200;6,051E+11
1963;0,253470898;19204000000;15822951424;17674829824;0,004808321;48565203777;57126662144;1,2483E+11;;;6878552576;3706011904;63794000000;30915000000;519026700;2,3058E+11;1102334336;18628194304;2,50193E+13;26104293376;47450767360;555271040;;1,04524E+11;6,386E+11
1964;0,359472096;21219000000;17326626816;19782035456;0,009645056;53258992994;63322750976;1,4699E+11;;;7696745472;4180024576;70755000000;33717000000;587205300;2,68953E+11;1254596480;20392112128;2,94296E+13;30717179904;52180824064;602168576;;1,16565E+11;6,858E+11
1965;0,481860012;23159000000;18883733504;21531359232;0,015047;58766438013;67110535168;1,734E+11;;;8927539200;4622794752;76422000000;36366000000;676961500;2,836E+11;1335812224;21942366208;3,27421E+13;34497335296;57562030080;672202944;;1,28272E+11;7,437E+11
1966;0,601239979;24348000000;20572207104;23118405632;0,021847;65811554589;72066473984;1,8887E+11;;82414195000;10357023744;4956040704;82826000000;38776000000;756406600;3,21058E+11;1407611520;23774728192;3,80261E+13;37563596800;62117597184;736437184;;1,39529E+11;8,15E+11
1967;0,800469995;27142000000;21879263232;24779487232;0,029624;70837307492;77576192000;1,7942E+11;;90845930000;11729186816;5436308992;89545000000;40960000000;816634000;3,76012E+11;1537325184;26188599296;4,45615E+13;41210945536;67960717312;823175808;;1,51451E+11;8,617E+11
1968;0,925289989;29167000000;23506483200;26495297536;0,041813001;77394821621;82835611648;1,7441E+11;;1,01292E+11;13242030080;6232452096;97683000000;44900000000;888394100;3,98141E+11;1734561280;28386482176;5,27764E+13;45695545344;72570986496;911229184;;1,60715E+11;9,425E+11
1969;1,093969941;32706000000;25664612352;29388689408;0,05548;85225027390;89754304512;1,9622E+11;;1,15612E+11;15161791488;7113830912;1,12366E+11;48527000000;1022655100;4,3836E+11;2003583488;31337662464;6,19935E+13;55910316500;79021924352;999388928;;1,74534E+11;1,0199E+12
1970;1,200199962;36851000000;29047294400;33102330100;0,070660003;91842629900;1,06151E+11;2,2797E+11;4,03898E+11;1,28066E+11;17245753400;8022950200;1,25698E+11;54451000000;1156307900;4,68169E+11;2328706400;36604007900;7,65393E+13;62693180400;91530000000;1162720900;;1,95446E+11;1,0733E+12
1971;1,664659977;40314000000;32427438800;36266122600;0,094568998;1,00245E+11;1,20586E+11;2,4569E+11;4,48298E+11;1,41736E+11;19463607900;8816787700;1,40192E+11;60860000000;1284074500;5,01199E+11;2663452600;39945026400;8,42159E+13;71148279800;1,02897E+11;1302027400;;2,11321E+11;1,16485E+12
1972;2,778640032;44484000000;37057942900;40599195800;0,126254007;1,11941E+11;1,36644E+11;2,5524E+11;4,88766E+11;1,61449E+11;22842852200;10281897500;1,56487E+11;68054000000;1485924600;5,52453E+11;3215949000;43752323900;9,64183E+13;79674630000;1,14362E+11;1516156900;;2,3123E+11;1,27911E+12
1973;4,728960037;49747000000;41997559400;46130061000;0,176517993;1,31335E+11;1,52274E+11;2,7562E+11;5,44378E+11;1,85905E+11;27539562400;12514887800;1,79495E+11;78594000000;1942027700;6,72407E+11;3882135600;52840658400;1,17398E+14;91137378500;1,29928E+11;1845576300;;2,57315E+11;1,42538E+12
