date,GDP.US,GDPDEF.US,CONSO.US,GDP.ZE,GDPDEF.ZE,CONSO.ZE,CONSO.NONDUR.US,BILL10,Infl4Q,RGDP10,GDP4Q,SPF_PDFbased_1Y_Infl,SPF_PDFbased_2Y_Infl,SPF_PDFbased_1Y_GDPgrowth,SPF_PDFbased_2Y_GDPgrowth
01.01.1970,4936.594,21.294,3065.074,959877.645,12.70499359,536570.6565,0.18725,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01.04.1970,4943.6,21.591,3078.959,978328.3247,12.96849479,543248.5488,0.18657,NaN,3.699840324,NaN,2.666669053,NaN,NaN,NaN,NaN
01.07.1970,4989.159,21.768,3105.952,990114.8003,13.16228061,549765.527,0.187649,NaN,3.265294189,NaN,3.194173564,NaN,NaN,NaN,NaN
01.10.1970,4935.693,22.056,3097.52,1002108.876,13.31062551,560441.0805,0.187848,NaN,3.47678438,NaN,3.895998642,NaN,NaN,NaN,NaN
01.01.1971,5069.746,22.391,3156.978,1000356.7,13.66835331,564300.1256,0.186673,NaN,3.548992649,NaN,4.006041685,NaN,NaN,NaN,NaN
01.04.1971,5097.179,22.685,3185.993,1013171.43,13.82343447,572673.0464,0.186709,NaN,3.562915236,NaN,4.589459057,NaN,NaN,NaN,NaN
01.07.1971,5139.128,22.916,3211.394,1028972.756,14.02817687,577669.7483,0.186886,NaN,3.050906723,NaN,5.791264712,NaN,NaN,NaN,NaN
01.10.1971,5151.245,23.107,3264.679,1037156.908,14.22182928,584329.4367,0.188052,NaN,3.347642392,NaN,5.659509211,NaN,NaN,NaN,NaN
01.01.1972,5245.974,23.458,3307.767,1052525.632,14.54010579,594277.7712,0.187278,NaN,3.407104741,NaN,5.66060417,NaN,NaN,NaN,NaN
01.04.1972,5365.045,23.604,3370.736,1059612.762,14.74504039,596890.7148,0.189581,NaN,3.425978568,NaN,5.557284364,NaN,NaN,NaN,NaN
01.07.1972,5415.712,23.83,3422.682,1074101.576,14.95474726,607659.6095,0.191118,NaN,3.594553075,NaN,5.153190792,NaN,NaN,NaN,NaN
01.10.1972,5506.396,24.134,3503.001,1089824.551,15.22762299,613798.8725,0.193198,NaN,3.540483594,NaN,5.064384302,NaN,NaN,NaN,NaN
01.01.1973,5642.669,24.412,3566.957,1110806.321,15.71217274,626647.9722,0.194537,NaN,3.747247927,NaN,4.31028335,NaN,NaN,NaN,NaN
01.04.1973,5704.098,24.787,3565.349,1124274.792,16.09177481,633041.9709,0.195018,NaN,3.931621409,NaN,3.377392543,NaN,NaN,NaN,NaN
01.07.1973,5674.1,25.27,3577.898,1139713.888,16.53356615,636309.0474,0.195364,NaN,4.14516816,NaN,1.992132317,NaN,NaN,NaN,NaN
01.10.1973,5727.96,25.773,3567.227,1152166.516,16.88911988,642630.561,0.195194,NaN,5.175871913,NaN,0.858838217,NaN,NaN,NaN,NaN
01.01.1974,5678.713,26.26,3535.312,1163573.935,17.4616213,643297.3868,0.195587,NaN,5.666333903,NaN,2.2570461,NaN,NaN,NaN,NaN
01.04.1974,5692.21,26.88,3548.041,1165679.387,18.07355868,649380.0025,0.196224,NaN,5.940529426,NaN,3.124174653,NaN,NaN,NaN,NaN
01.07.1974,5638.411,27.668,3563.282,1173620.477,18.71681286,653594.3239,0.195234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01.10.1974,5616.526,28.482,3511.197,1154919.768,19.34759371,647305.9669,0.193113,NaN,7.388675248,NaN,1.631864728,NaN,NaN,NaN,NaN
01.01.1975,5548.156,29.129,3540.647,1144140.646,19.84930511,651557.772,0.192762,NaN,6.697605727,NaN,2.613312717,NaN,NaN,NaN,NaN
01.04.1975,5587.8,29.562,3598.886,1150048.106,20.34585633,660737.261,0.194246,NaN,5.907349971,NaN,4.778272805,NaN,NaN,NaN,NaN
01.07.1975,5683.444,30.084,3650.035,1160321.324,20.75926637,668780.1518,0.194881,NaN,5.957046012,NaN,5.757454163,NaN,NaN,NaN,NaN
01.10.1975,5759.972,30.587,3689.285,1172582.281,21.1917113,677857.9707,0.195486,NaN,6.097419407,NaN,4.85705185,NaN,NaN,NaN,NaN
01.01.1976,5889.5,30.911,3763.048,1191727.379,21.62949814,686704.8433,0.197477,NaN,6.392162596,NaN,4.960711211,NaN,NaN,NaN,NaN
01.04.1976,5932.711,31.222,3797.67,1207053.232,22.52628552,691588.6561,0.198136,NaN,6.361035528,NaN,4.729790388,NaN,NaN,NaN,NaN
01.07.1976,5965.265,31.626,3837.654,1217214.343,23.1545392,696949.6805,0.199777,NaN,5.916040464,NaN,4.97942724,NaN,NaN,NaN,NaN
01.10.1976,6008.504,32.192,3887.447,1236764.73,23.74982329,704754.8111,0.200927,NaN,5.646383173,NaN,4.884687788,NaN,NaN,NaN,NaN
01.01.1977,6079.494,32.711,3933.268,1241863.114,24.31239931,706368.0628,0.202167,NaN,5.507496435,NaN,5.206240854,NaN,NaN,NaN,NaN
01.04.1977,6197.686,33.172,3954.596,1243536.367,25.06327576,715563.0203,0.202698,NaN,6.131210807,NaN,4.801653219,NaN,NaN,NaN,NaN
01.07.1977,6309.514,33.576,3991.989,1244513.586,25.60582839,721270.5112,0.204167,NaN,6.453284842,NaN,4.101598104,NaN,NaN,NaN,NaN
01.10.1977,6309.652,34.301,4052.01,1259399.64,26.17906351,728496.5664,0.204643,NaN,6.005491014,NaN,3.970893005,NaN,NaN,NaN,NaN
01.01.1978,6329.791,34.8,4074.774,1267497.96,26.79994035,730727.7297,0.206524,NaN,5.959332767,NaN,3.720170581,NaN,NaN,NaN,NaN
01.04.1978,6574.39,35.465,4161.887,1281960.076,27.44724922,738740.5166,0.208643,NaN,6.639022575,NaN,2.844824839,NaN,NaN,NaN,NaN
01.07.1978,6640.497,36.067,4179.363,1287964.062,28.06496721,744261.9371,0.209397,NaN,7.728062605,NaN,1.348597882,NaN,NaN,NaN,NaN
01.10.1978,6729.755,36.806,4213.088,1303302.523,28.63286484,752643.6817,0.209834,NaN,7.187577958,NaN,1.241713989,NaN,NaN,NaN,NaN
01.01.1979,6741.854,37.476,4234.909,1309959.183,29.27020897,757851.9552,0.210833,NaN,7.388113345,NaN,0.608324797,NaN,NaN,NaN,NaN
